,Squad,# Pl_x,90s_x,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,Prog,# Pl_y,90s_y,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
0,ar Argentina,21,4.0,2479,2867,86.5,38616,10744,1343,1455,92.3,950,1064,89.3,141,228,61.8,5,4.3,3.6,0.7,43,168,40,7,122,21,4.0,7,55,22,40.0,13.75,5.5,0.11,0.27,17.1,2,1,2,7.6,6.2,0.12,-0.6,-0.2
1,au Australia,20,4.0,1254,1696,73.9,22489,8922,546,643,84.9,499,612,81.5,145,306,47.4,3,1.9,1.1,1.1,17,77,15,2,68,20,4.0,3,26,8,30.8,6.5,2.0,0.12,0.38,18.5,0,0,0,2.3,2.3,0.09,0.7,0.7
2,be Belgium,20,3.0,1598,1885,84.8,30387,9967,575,637,90.3,866,955,90.7,148,237,62.4,1,3.8,2.9,-2.8,29,102,18,2,99,20,3.0,1,35,9,25.7,11.67,3.0,0.03,0.11,15.6,1,0,0,4.7,4.7,0.14,-3.7,-3.7
3,br Brazil,26,4.0,2112,2465,85.7,34845,11476,1001,1097,91.2,906,1027,88.2,145,232,62.5,5,6.5,5.9,-1.5,56,160,45,8,153,26,4.0,7,74,29,39.2,18.5,7.25,0.08,0.21,17.7,5,1,1,9.4,8.7,0.12,-2.4,-2.7
4,cm Cameroon,22,3.0,960,1252,76.7,17831,7268,455,516,88.2,367,444,82.7,121,234,51.7,4,2.0,2.2,2.0,21,90,11,3,62,22,3.0,4,28,16,57.1,9.33,5.33,0.14,0.25,16.4,1,0,0,3.4,3.4,0.13,0.6,0.6
5,ca Canada,19,3.0,1307,1586,82.4,22064,7915,635,704,90.2,519,578,89.8,117,210,55.7,1,2.8,2.6,-1.8,27,103,24,12,84,19,3.0,1,34,4,11.8,11.33,1.33,0.03,0.25,17.0,1,0,1,4.2,3.6,0.11,-3.2,-2.6
6,cr Costa Rica,22,3.0,823,1101,74.8,15308,6006,362,425,85.2,352,411,85.6,92,199,46.2,1,0.6,0.4,0.4,7,35,7,2,38,22,3.0,3,12,7,58.3,4.0,2.33,0.25,0.43,17.0,0,0,0,1.4,1.4,0.13,1.6,1.6
7,hr Croatia,18,4.3,2141,2608,82.1,35635,11694,1072,1182,90.7,808,943,85.7,193,325,59.4,5,4.0,3.8,1.0,33,127,40,14,140,18,4.3,5,46,19,41.3,10.62,4.38,0.11,0.26,16.9,0,0,0,5.2,5.2,0.12,-0.2,-0.2
8,dk Denmark,20,3.0,1598,1944,82.2,28745,9562,711,803,88.5,670,753,89.0,176,292,60.3,1,1.8,1.8,-0.8,27,154,25,6,133,20,3.0,1,34,10,29.4,11.33,3.33,0.03,0.1,17.1,0,0,0,2.7,2.7,0.09,-1.7,-1.7
9,ec Ecuador,18,3.0,1153,1473,78.3,19926,6755,548,615,89.1,468,544,86.0,112,235,47.7,2,1.8,1.6,0.2,20,60,17,10,52,18,3.0,4,29,10,34.5,9.67,3.33,0.1,0.3,18.2,1,1,1,3.7,2.9,0.11,0.3,0.1
10,eng England,20,4.0,2312,2668,86.7,42179,12620,993,1068,93.0,1060,1157,91.6,230,341,67.4,11,5.0,4.1,6.0,35,139,36,5,151,20,4.0,12,47,21,44.7,11.75,5.25,0.26,0.57,14.5,2,0,0,6.3,6.3,0.14,5.7,5.7
11,fr France,24,4.0,2207,2584,85.4,38971,11686,1034,1123,92.1,947,1041,91.0,203,328,61.9,9,7.5,6.9,1.5,55,202,39,17,131,24,4.0,9,70,23,32.9,17.5,5.75,0.13,0.39,15.4,2,0,0,8.6,8.6,0.13,0.4,0.4
12,de Germany,20,3.0,1686,1990,84.7,27871,9490,797,881,90.5,662,725,91.3,149,230,64.8,5,7.5,7.2,-2.5,52,126,48,14,132,20,3.0,6,68,23,33.8,22.67,7.67,0.07,0.22,16.6,1,1,1,10.1,9.3,0.14,-4.1,-4.3
13,gh Ghana,20,3.0,972,1256,77.4,16652,6225,475,533,89.1,376,443,84.9,99,210,47.1,2,1.7,1.5,0.3,18,67,12,4,62,20,3.0,5,25,9,36.0,8.33,3.0,0.2,0.56,19.0,0,0,1,4.1,3.4,0.14,0.9,1.6
14,ir IR Iran,21,3.0,769,1106,69.5,14148,5637,312,382,81.7,332,425,78.1,96,225,42.7,2,2.4,2.7,-0.4,26,55,17,3,56,21,3.0,4,32,8,25.0,10.67,2.67,0.09,0.38,20.6,0,1,1,3.2,2.8,0.09,0.8,0.2
15,jp Japan,22,4.3,1324,1750,75.7,23079,7896,636,735,86.5,540,652,82.8,125,283,44.2,4,3.5,2.5,0.5,31,101,24,8,79,22,4.3,5,44,14,31.8,10.15,3.23,0.11,0.36,16.8,2,0,0,5.0,5.0,0.12,0.0,0.0
16,kr Korea Republic,21,4.0,1619,2023,80.0,30139,10119,705,793,88.9,671,777,86.4,209,360,58.1,3,3.3,3.0,-0.3,36,150,38,12,112,21,4.0,5,50,18,36.0,12.5,4.5,0.1,0.28,18.3,2,0,0,4.6,4.6,0.09,0.4,0.4
17,mx Mexico,21,3.0,1097,1450,75.7,19868,7015,483,570,84.7,482,588,82.0,117,222,52.7,1,2.7,3.4,-1.7,25,95,19,10,77,21,3.0,2,41,15,36.6,13.67,5.0,0.05,0.13,21.9,6,0,0,3.3,3.3,0.08,-1.3,-1.3
