,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
ar Argentina,1,4,0.75,0,0,0,0.25,0.45,0.45,-0.05,-0.05,1.5,6.5,23.1,19.8,4.5,30.4,31,3.75,13.3,25.7,8.5,1,11.8,0.25,0.25,11.9
au Australia,1,4,1.5,0,0,0.25,0,1.38,0.31,-0.13,-0.13,9.5,21.3,44.7,31.8,3.25,50.4,38.5,9.25,56.8,46.2,15.8,0.75,4.8,1.5,1.5,15.5
be Belgium,1,3,0.67,0,0,0,0,1.37,0.28,0.7,0.69,3.33,7.67,43.5,29,5,17.2,26.7,12,22.2,33.5,12,0.33,2.8,0.67,0.67,14
br Brazil,3,4,0.5,0,0,0,0,0.7,0.31,0.2,0.2,2,4.75,42.1,19.8,4.75,17.7,25.9,5,25,30,9,0,0,2,2,20.5
cm Cameroon,2,3,1.33,0,0,0,0,1.63,0.33,0.3,0.31,9.67,22.3,43.3,36,5.67,42.6,34.9,11.3,61.8,46.8,19,1,5.3,0,0,8.9
ca Canada,1,3,2.33,0,0,0,0,1.8,0.37,-0.53,-0.52,3.67,9.67,37.9,27.3,7.33,31.7,30.1,5,20,28.3,9.67,0,0,0.67,0.67,15.1
cr Costa Rica,1,3,3.67,0.33,0,0,0,3.2,0.39,-0.47,-0.46,6.67,19.3,34.5,22.7,4.67,50,41.7,11,72.7,52,17,0.67,3.9,0.67,0.67,9.9
hr Croatia,1,4.3,0.47,0,0,0.23,0,0.67,0.26,0.21,0.2,3.49,7.91,44.1,23,6.74,24.2,27,5.58,41.7,36.4,14,1.4,10,0.23,0.23,9.8
dk Denmark,1,3,1,0,0,0,0,1.23,0.34,0.23,0.24,3,8,37.5,23.7,4,26.8,30.2,5.33,31.3,35.8,12.7,0,0,1.67,1.67,19.2
ec Ecuador,1,3,1,0.33,0,0,0,0.7,0.27,-0.3,-0.31,3.67,13.3,27.5,17.7,2,47.2,38.3,7,71.4,52,8.67,0.33,3.8,0.67,0.67,13
eng England,1,4,0.5,0.25,0,0,0,0.33,0.17,-0.17,-0.18,3.75,10.5,35.7,27,2.25,26.9,29.1,6.75,48.1,46.3,7.25,0.5,6.9,1.25,1.25,16.2
fr France,2,4,1,0.25,0,0.25,0,0.72,0.24,-0.28,-0.28,3,13,23.1,19.8,3.75,41.8,34.7,9.75,48.7,39.5,11.5,1.25,10.9,0.75,0.75,15.2
de Germany,1,3,1.67,0,0,0,0,1.7,0.44,0.03,0.04,2.33,5,46.7,37.7,5.33,13.3,25.7,4.67,0,22.4,7.33,0,0,2,2,20.3
gh Ghana,1,3,2.33,0.33,0,0,0,2.17,0.34,-0.17,-0.18,4.33,12,36.1,15.7,2.67,53.2,41.6,10.3,35.5,35,19.3,0.67,3.4,0.33,0.33,11.4
ir IR Iran,2,3,2.33,0,0,0.33,0,1.83,0.37,-0.5,-0.5,4.33,15.3,28.3,18.7,5.67,50,38.1,6.67,90,59.5,15.3,1.33,8.7,0,0,6.5
jp Japan,1,4.3,0.93,0.23,0,0,0,1.23,0.24,0.3,0.31,2.79,12.6,22.2,20,2.79,44.2,35.8,6.05,61.5,45.7,14.2,0.93,6.6,0,0,8.4
kr Korea Republic,1,4,2,0.25,0,0,0,1.65,0.3,-0.35,-0.34,2.75,10.5,26.2,24.8,3,28.3,31.5,7.25,48.3,43.3,11.8,0.75,6.4,1.25,1.25,15.2
mx Mexico,1,3,1,0,0,0.33,0,1,0.33,0,-0.01,3.33,8,41.7,27,4,19.8,28.1,8.67,30.8,32.8,9.33,0,0,1,1,12.9
ma Morocco,2,4.3,0.23,0,0,0,0.23,0.23,0.2,0.23,0.23,4.65,14.4,32.3,21.2,3.26,38.5,35.7,8.37,75,55.2,15.1,0.7,4.6,0.47,0.46,11.5
nl Netherlands,1,4,0.5,0,0,0,0,1.07,0.26,0.57,0.59,3,9.5,31.6,26.8,5.5,25.2,28.8,7.75,35.5,32.8,13.5,1.25,9.3,1.25,1.25,14.3
pl Poland,1,4,1.25,0,0,0,0,1.95,0.22,0.7,0.7,10,23.8,42.1,27.3,3.25,62.4,43.3,8.25,81.8,56.3,16.5,0.25,1.5,0,0,7.9
pt Portugal,1,4,1.25,0,0,0.5,0,1.3,0.37,0.05,0.06,3.25,12.3,26.5,26.8,4.5,33.6,34.5,6.5,50,46,10.3,0.75,7.3,1.25,1.25,15.9
qa Qatar,2,3,2.33,0.33,0,0.33,0,1.43,0.35,-0.9,-0.89,2.67,7.33,36.4,19.3,4.33,32.8,30,8,12.5,22.1,11,0.33,3,1,1,13
sa Saudi Arabia,1,3,1.67,0.33,0.33,0.33,0,2.27,0.31,0.6,0.59,5.33,17.7,30.2,23.7,4.67,47.9,40.5,9.67,65.5,48.3,18.3,1.33,7.3,4.67,4.67,18
sn Senegal,1,4,1.75,0,0,0.25,0,1.35,0.41,-0.4,-0.41,3.75,11,34.1,23.5,3.75,39.4,35.5,6.5,26.9,30.1,16,0.75,4.7,0.5,0.5,11.8
rs Serbia,1,3,2.67,0,0,0.33,0,2.57,0.33,-0.1,-0.11,5.67,16.7,34,34.7,7,33.7,34.2,7,71.4,57.2,9.33,1,10.7,2.67,2.67,20.3
es Spain,1,4.3,0.7,0,0,0,0,0.86,0.41,0.16,0.17,1.63,2.56,63.6,32.1,4.42,7.2,22,5.12,4.5,21.4,5.12,0.93,18.2,1.4,1.38,15.7
ch Switzerland,2,4,2.25,0,0,0.25,0,2.15,0.38,-0.1,-0.09,1.5,5.25,28.6,30,5.75,15,25.7,6.75,11.1,22.6,17,0.5,2.9,0.25,0.25,10.5
tn Tunisia,1,3,0.33,0,0,0,0,0.8,0.24,0.47,0.46,5,13.7,36.6,19.7,2.33,49.2,39.9,6,66.7,51.1,17.3,0,0,0,0,12
us United States,1,4,1,0.25,0,0,0,0.85,0.2,-0.15,-0.15,3.25,9.5,34.2,27,6,24.1,29.4,5,60,48.1,10.5,1.75,16.7,1.25,1.25,13.8
uy Uruguay,1,3,0.67,0.33,0,0,0,1,0.16,0.33,0.34,2,9,22.2,18,2,37,33.4,8,29.2,29.9,11,0.67,6.1,0.67,0.67,11
wls Wales,2,3,2,0,0.33,0,0,1.63,0.35,-0.37,-0.35,7.67,17.7,43.4,26.7,6.67,45,35.1,8.33,68,49,16,1,6.3,0.67,0.67,9.4
